SEC_ID,FROM_ADR_ID,TO_ADR_ID,SEC_DIS,PRE_BLO_REQ,SEC_TYPE,SEC_DIR,PRE_ADD_REPR,ADR1_CHG_SEC_ID_1,ADR1_CHG_SEC_ID_2,ADR1_CHG_SEC_ID_3,ADR2_CHG_SEC_ID_1,ADR2_CHG_SEC_ID_2,ADR2_CHG_SEC_ID_3
1,1,2,10500,0,0,1,0,29,NULL,NULL,2,27,NULL
2,2,3,6001,0,0,1,0,1,27,NULL,3,25,NULL
3,3,4,7165,1,0,1,0,2,25,NULL,4,NULL,NULL
4,4,5,4035,1,2,1,0,3,36,NULL,5,19,NULL
5,5,6,2100,0,0,1,0,4,19,NULL,6,33,NULL
6,6,7,6200,1,2,1,0,5,33,NULL,7,32,NULL
7,7,8,9000,0,0,1,0,6,32,NULL,8,NULL,NULL
8,8,9,4150,1,0,1,0,7,NULL,NULL,9,NULL,NULL
9,9,10,9000,1,3,1,0,NULL,NULL,NULL,10,32,NULL
10,10,11,6200,0,0,1,0,9,32,NULL,11,33,NULL
11,11,25,2100,0,0,1,0,10,33,NULL,34,35,NULL
12,12,19,7165,1,0,1,0,35,13,NULL,22,24,NULL
13,13,26,4000,1,4,2,0,14,20,NULL,36,37,NULL
14,13,14,5697,0,0,1,0,13,20,36,15,21,NULL
15,14,15,5697,1,0,1,0,14,21,NULL,16,NULL,NULL
16,15,16,4500,0,0,1,0,15,NULL,NULL,17,NULL,NULL
17,16,17,5697,1,0,1,0,16,NULL,NULL,18,21,NULL
18,17,18,5697,0,0,1,0,17,21,NULL,19,20,NULL
19,18,27,4564,1,1,1,0,18,20,NULL,34,38,NULL
20,13,18,4500,0,0,1,0,13,14,36,18,19,34
21,14,17,4500,1,1,2,0,14,15,NULL,17,18,NULL
22,19,20,6000,0,0,1,0,12,24,NULL,23,26,NULL
23,20,21,10500,0,0,1,0,22,26,NULL,28,NULL,NULL
24,19,22,2075,1,1,2,0,12,22,NULL,25,30,NULL
25,3,22,2075,0,0,1,0,2,3,NULL,24,30,NULL
26,20,23,2075,0,0,1,0,22,23,NULL,27,30,31
27,2,23,2075,1,1,2,0,1,2,NULL,26,30,31
28,21,24,2075,0,0,1,0,23,NULL,NULL,29,31,NULL
29,1,24,2075,1,1,2,0,1,NULL,NULL,28,31,NULL
30,22,23,6000,1,1,1,0,24,25,NULL,26,27,31
31,23,24,10500,0,0,1,0,26,27,30,28,29,NULL
32,7,10,4150,1,1,1,0,9,10,NULL,6,7,NULL
33,6,11,4150,1,1,2,0,5,6,NULL,10,11,NULL
34,25,27,8463,0,0,2,0,11,35,NULL,19,38,NULL
35,12,25,4000,0,0,2,0,12,13,NULL,11,34,NULL
36,4,26,5000,0,0,1,0,3,4,NULL,13,37,NULL
37,12,26,8452,0,0,1,0,12,35,NULL,13,36,NULL
38,5,27,4200,0,0,2,0,4,5,NULL,19,34,20
